Total Nacional;Comunidades y Ciudades Autónomas;Sexo;Vacunado;Total
Total;Rioja (La);Ambos sexos;TOTAL;267,4
Total;Rioja (La);Ambos sexos;Sí ha sido vacunado;64,4
Total;Rioja (La);Ambos sexos;No ha sido vacunado;202,9
Total;Rioja (La);Hombres;TOTAL;131,1
Total;Rioja (La);Hombres;Sí ha sido vacunado;33,1
Total;Rioja (La);Hombres;No ha sido vacunado;98,1
Total;Rioja (La);Mujeres;TOTAL;136,2
Total;Rioja (La);Mujeres;Sí ha sido vacunado;31,4
Total;Rioja (La);Mujeres;No ha sido vacunado;104,9
Total;Ceuta (Ciudad Autónoma de);Ambos sexos;TOTAL;66,8
Total;Ceuta (Ciudad Autónoma de);Ambos sexos;Sí ha sido vacunado;5,3
Total;Ceuta (Ciudad Autónoma de);Ambos sexos;No ha sido vacunado;61,5
Total;Ceuta (Ciudad Autónoma de);Hombres;TOTAL;33,6
Total;Ceuta (Ciudad Autónoma de);Hombres;Sí ha sido vacunado;2,0
Total;Ceuta (Ciudad Autónoma de);Hombres;No ha sido vacunado;31,6
Total;Ceuta (Ciudad Autónoma de);Mujeres;TOTAL;33,2
Total;Ceuta (Ciudad Autónoma de);Mujeres;Sí ha sido vacunado;3,3
Total;Ceuta (Ciudad Autónoma de);Mujeres;No ha sido vacunado;29,9
Total;Melilla (Ciudad Autónoma de);Ambos sexos;TOTAL;64,3
Total;Melilla (Ciudad Autónoma de);Ambos sexos;Sí ha sido vacunado;9,3
Total;Melilla (Ciudad Autónoma de);Ambos sexos;No ha sido vacunado;55,0
Total;Melilla (Ciudad Autónoma de);Hombres;TOTAL;32,0
Total;Melilla (Ciudad Autónoma de);Hombres;Sí ha sido vacunado;5,3
Total;Melilla (Ciudad Autónoma de);Hombres;No ha sido vacunado;26,6
Total;Melilla (Ciudad Autónoma de);Mujeres;TOTAL;32,3
Total;Melilla (Ciudad Autónoma de);Mujeres;Sí ha sido vacunado;4,0
Total;Melilla (Ciudad Autónoma de);Mujeres;No ha sido vacunado;28,3
